Field,X,Y,Influx
2,48.0,60.0,-2.112676056338028
2,51.0,167.0,2.941176470588235
2,66.0,293.0,7.48502994011976
2,87.0,78.0,2.864435621100397
2,89.0,181.0,3.971756398940865
2,93.0,359.0,4.2015723675731405
2,106.0,88.0,-4.864652805021577
2,109.0,91.0,-17.15443493921657
2,137.0,105.0,1.44515517649846
2,138.0,340.0,0.1561524047470331
2,150.0,183.0,4.252642174131857
2,152.0,138.0,2.828241123038811
2,155.0,50.0,-8.645833333333334
2,160.0,214.0,0.7874015748031495
2,175.0,227.0,4.281345565749235
2,185.0,270.0,-5.222929936305733
2,188.0,81.0,2.3996082272282075
2,201.0,380.0,5.797101449275362
2,204.0,175.0,-3.386167146974063
2,204.0,345.0,-3.1866464339908953
2,205.0,194.0,0.42796005706134094
2,212.0,63.0,-0.2152852529601722
2,216.0,209.0,-0.4287756074321105
2,224.0,230.0,-0.593089221248066
2,225.0,380.0,0.5648330058939097
2,242.0,266.0,3.0386740331491713
2,245.0,327.0,2.2388059701492535
2,248.0,207.0,5.554770318021202
2,265.0,267.0,-2.2658099425093
2,271.0,226.0,5.290102389078498
2,274.0,158.0,-3.7584459459459456
2,276.0,34.0,-9.37129300118624
2,278.0,178.0,-0.5282620179609087
2,280.0,319.0,0.7487520798668885
2,281.0,277.0,4.406648627754155
2,284.0,362.0,-6.2745098039215685
2,285.0,357.0,-6.230133502860776
2,296.0,39.0,-4.66867469879518
2,297.0,107.0,5.442572147975984
2,309.0,175.0,5.272407732864675
2,311.0,171.0,6.0905538956561704
2,313.0,194.0,-3.0380039274575488
2,313.0,217.0,0.5502063273727648
2,314.0,87.0,3.493737640079104
2,315.0,39.0,2.8433323855558714
2,317.0,56.0,2.6180836707152495
2,320.0,284.0,3.387096774193549
2,324.0,99.0,2.8891910265125764
2,329.0,169.0,4.837534605857496
2,334.0,95.0,-3.1024224394390143
2,335.0,233.0,2.7482499351827845
2,347.0,135.0,5.723204994797086
2,349.0,282.0,-1.5414454879542672
2,359.0,49.0,1.620795107033639
2,362.0,465.0,-0.12634238787113075
2,363.0,186.0,5.360900192114171
2,376.0,347.0,2.9449423815621
2,378.0,86.0,-3.180212014134275
2,392.0,137.0,-7.426376440460948
2,399.0,207.0,4.836819051144426
2,403.0,106.0,2.853305112341257
2,407.0,430.0,-2.4222704266088213
2,409.0,112.0,-0.10112501580078373
2,409.0,160.0,-0.6051437216338881
2,425.0,50.0,7.421660252886202
2,430.0,70.0,5.363301224878106
2,430.0,107.0,2.9081295439524126
2,442.0,150.0,-7.755359394703657
2,443.0,43.0,7.042475919785252
2,444.0,366.0,-9.973045822102426
2,446.0,215.0,1.4147491665989105
2,463.0,362.0,-1.8192844147968468
2,466.0,205.0,2.4741340530814218
2,473.0,99.0,0.0
2,475.0,163.0,7.094997705369435
2,479.0,227.0,0.8323699421965317
3,60.0,120.0,-2.049910873440285
3,61.0,359.0,-3.023758099352052
3,71.0,180.0,-6.720565942395148
3,79.0,177.0,-5.572021339656195
3,87.0,109.0,2.2276760430432323
3,89.0,125.0,1.7583443554034077
3,89.0,161.0,-0.19381931732529342
3,98.0,138.0,-3.9128680919725696
3,104.0,76.0,-6.846267918932279
3,104.0,197.0,-12.242899118511264
3,114.0,142.0,-5.7657657657657655
3,117.0,44.0,1.7690875232774672
3,118.0,240.0,-9.642560266001663
3,120.0,62.0,1.8633540372670807
3,135.0,68.0,-5.060728744939271
3,140.0,163.0,2.145148356054531
3,152.0,376.0,-2.073274637886964
3,153.0,356.0,4.700089525514771
3,155.0,193.0,-4.173813607775871
3,167.0,156.0,1.1415244875414263
3,171.0,55.0,1.7916666666666667
3,185.0,268.0,-2.383093525179856
3,186.0,165.0,-8.341759352881699
3,190.0,192.0,-2.990033222591362
3,196.0,146.0,1.0570824524312896
3,199.0,97.0,-1.2217470983506415
3,200.0,194.0,-3.941104837816894
3,205.0,212.0,-1.1660188784008885
3,225.0,241.0,3.767660910518053
3,228.0,83.0,3.45821325648415
3,241.0,400.0,3.1649831649831652
3,248.0,144.0,-0.31612223393045313
3,256.0,195.0,1.5228426395939088
3,256.0,272.0,0.16233766233766234
3,261.0,45.0,0.5471956224350205
3,261.0,92.0,2.435108375702435
3,261.0,120.0,3.93574297188755
3,263.0,197.0,2.207322585505499
3,267.0,155.0,4.675137856629106
3,273.0,197.0,2.7654267433033293
3,277.0,169.0,2.8305995064595733
3,277.0,444.0,-2.42914979757085
3,279.0,90.0,-3.289258004589662
3,280.0,198.0,2.2870819759324514
3,283.0,366.0,1.060859854829704
3,284.0,345.0,7.13125112836252
3,287.0,120.0,7.1798055038278505
3,298.0,105.0,-3.891591382904795
3,310.0,86.0,-3.7186167693036474
3,314.0,158.0,-6.382978723404255
3,315.0,45.0,3.709121303938982
3,316.0,210.0,-2.7186761229314422
3,316.0,236.0,4.985459077690071
3,322.0,251.0,2.310999641705482
3,323.0,142.0,-2.5709838441307498
3,323.0,202.0,-5.0344462109168
3,324.0,139.0,2.7119869824624843
3,330.0,118.0,-1.7917511832319135
3,332.0,49.0,-1.2012012012012012
3,336.0,166.0,2.0260492040520983
3,338.0,111.0,2.8763627928554856
3,343.0,272.0,-17.89667896678967
3,347.0,98.0,-5.322656617993406
