Field,X,Y,Influx
3,343.0,272.0,100.0
3,347.0,98.0,100.0
3,349.0,187.0,100.0
3,351.0,287.0,100.0
3,354.0,283.0,100.0
3,359.0,264.0,100.0
3,366.0,217.0,100.0
3,368.0,226.0,100.0
3,369.0,159.0,100.0
3,372.0,411.0,100.0
3,376.0,157.0,100.0
3,386.0,191.0,100.0
3,393.0,106.0,100.0
3,407.0,67.0,100.0
3,414.0,170.0,100.0
3,437.0,74.0,100.0
3,437.0,131.0,100.0
3,437.0,254.0,100.0
3,438.0,192.0,100.0
3,450.0,61.0,100.0
3,450.0,101.0,100.0
3,451.0,421.0,100.0
3,454.0,283.0,100.0
3,466.0,34.0,100.0
3,471.0,151.0,100.0
3,475.0,77.0,100.0
3,477.0,173.0,100.0
